drug,model,is_default,dose_increment,renal_metric,renal_formula,clearance_expr,eta_cl_expr
"Cefepime","An_2023",TRUE,1,"cg_lbw","Cockcroft-Gault (LBW)","0.526 + 2 * renal_value / 54","get_sd_from_cv(0.299)"
"Cefepime","Barreto_2023",FALSE,1,"none","No renal formula","7.84","1"
"Ceftazidime","Buning_2021",TRUE,1,"ckd_2009","CKD-EPI 2009","3.42 * (renal_value / 73)^0.772","get_sd_from_cv(0.36)"
"Ceftazidime","Cojutti_2024",FALSE,1,"ekfc","EKFC","5 * (renal_value / 70)^0.7","get_sd_from_cv(0.6792)"
"Ceftazidime","Launay_2024",FALSE,1,"ckd_2009","CKD-EPI 2009","4.45 * (renal_value / 73.9)^0.9","0.46"
"Cefiderocol","Zhar_2022",TRUE,1,"ckd_2009","CKD-EPI 2009","7.38 * (renal_value / 100)^0.467","0.467"
"Ceftolozane","Chandorkar_2015",FALSE,1,"cg_tbw","Cockcroft-Gault (TBW)","5.11 * 1.215 * (renal_value / 109)^0.715","get_sd_from_cv(0.33)"
"Ceftolozane","Zhang_2021",TRUE,1,"cg_tbw","Cockcroft-Gault (TBW)","4.84 * (renal_value / 100)^0.701","get_sd_from_cv(0.429)"
"Meropenem","Ehrmann_2019",TRUE,0.5,"none","No renal formula","1","1"
"Meropenem","Fukumoto_2023",FALSE,0.5,"uvp","UV/P clearance","1.35 * ((renal_value * 1.73 / biological$bsa) / 87.6)^0.67","get_sd_from_cv(0.221)"
"Meropenem","Gijsen_2021",FALSE,0.5,"none","No renal formula","1","1"
"Meropenem","Huang_2025",FALSE,0.5,"none","No renal formula","1","1"
"Meropenem","Lan_2022",FALSE,0.5,"none","No renal formula","1","1"
"Meropenem","Minichmayr_2018",FALSE,0.5,"none","No renal formula","1","1"
"Piperacillin-tazobactam","Klastrup_2020",TRUE,2,"cg_tbw","Cockcroft-Gault (TBW)","2.25 + 0.119 * renal_value","0.533"
"Piperacillin-tazobactam","Sukarnjanaset_2019",FALSE,2,"cg_tbw","Cockcroft-Gault (TBW)","5.37 + 0.06 * (renal_value - 55)","get_sd_from_cv(0.285)"
"Piperacillin-tazobactam","Udy_2015",FALSE,2,"cg_tbw","Cockcroft-Gault (TBW)","16.3 * (renal_value / 100)","get_cv_from_sd(0.56)"
